description,class
"PM,Single wall CORR, straight leg",PackagingCarton
"PM,Single wall CORR,FF5PF ,mirror",PackagingCarton
"PM,Single wall CORR FF5PF, 450x170x100",PackagingCarton
"PM,Single wall CORR FF5PF",PackagingCarton
"PM,Single wall CORR FF5PF",PackagingCarton
"PM,Single wall CORR FF5PF,930x235x195",PackagingCarton
"PM,Single wall CORR scored- corner cut",PackagingCarton
"PM,Single wall CORR scored sheet",PackagingCarton
"PM,Double wall CORR,RSC, 1581x692",PackagingCarton
"PM,Double wall CORR,RSC",PackagingCarton
"PM,Single wall corr,FF5PF,275x170x95",PackagingCarton
"PM,Single wall corr,FF5PF, 275x105x65",PackagingCarton
"PM,Double wall CORR-HSC, 2950mm*1392",PackagingCarton
"PM,Double wall CORR-HSC, 2810*1625",PackagingCarton
"PM,Single wall CORR paper, board",PackagingCarton
"PM,Single wall CORR FF5PF for 1200 to 1600",PackagingCarton
"PM,Single wall CORR FF5PF for 1800",PackagingCarton
"PM,Single wall CORR FF5PF for 1200",PackagingCarton
"PM,Single wall CORR FF5PF for 1200 to 1400",PackagingCarton
"PM,Single wall CORR FF5PF for 1400 to 1600",PackagingCarton
"PM,Single wall CORR FF5PF for 1600",PackagingCarton
"PM,Single wall CORR FF5PF for 1940x1420",PackagingCarton
"PM,single wall corrugated, FF5PF,490mmX845mm",PackagingCarton
"PM,Single wall corr,FF5PF",PackagingCarton
"PM,HSC,double wall, corrugugated carton",PackagingCarton
"PM,end cover for screen 438MM",PackagingCarton
"PM,end cover for screen 530MM",PackagingCarton
"PM,end cover for screen 860MM",PackagingCarton
"PM,carton _screen H530mm *W998mm",PackagingCarton
"PM,Carton _Screen H530mm *W1298mm",PackagingCarton
"PM,Carton _Screen H530mm *W1398mm",PackagingCarton
"PM,Carton _Screen H530mm *W1598mm",PackagingCarton
"PM,Single wall tube 90*75*595mm",PackagingCarton
"PM,Single Wall TUBE 90*75*795MM",PackagingCarton
"PM,Single Wall TUBE 90*75*945MM",PackagingCarton
"PM,Single Wall TUBE 60*30*500MM",PackagingCarton
"PM,Single Wall TUBE 60*30*650MM",PackagingCarton
"PM,Single Wall TUBE 60*30*1100MM",PackagingCarton
"PM,Single Wall TUBE 60*30*1330MM",PackagingCarton
"PM,Single Wall TUBE 60*30*1650MM",PackagingCarton
"PM,Single Wall CORR FF5PF",PackagingCarton
"PM,box, 750*1600",PackagingCarton
"PM,box, 750*1800",PackagingCarton
"PM,box, 900*2400",PackagingCarton
"PM,RSC,double wall corr",PackagingCarton
"PM,RSC,double wall corr",PackagingCarton
"PM,double wall, DBL inter leg",PackagingCarton
"PM, double wall, SGL inter leg",PackagingCarton
"PM, single wall corr, for 1000*1800 panel",PackagingCarton
"PM, single wall corr, for 1050*1800 panel",PackagingCarton
"PM, single wall corr, for 1100*1800 panel",PackagingCarton
"PM, single wall corr, for 1150*1800 panel",PackagingCarton
"PM, single wall corr, for 1200*1800 panel",PackagingCarton
"PM, single wall corr, for 1400*1800 panel",PackagingCarton
"PM, single wall corr, for 1500*1800 panel",PackagingCarton
"PM, single wall corr, for 1600*1800 panel",PackagingCarton
"MD,PM, single wall corr, for 900W",PackagingCarton
"MD,PM, single wall corr, for 1200W",PackagingCarton
"MD,PM, single wall corr, for 1600W",PackagingCarton
"MD,PM, single wall corr, for 1800W",PackagingCarton
"PM, single wall corr,",PackagingCarton
"PM, single wall corr",PackagingCarton
"PM, single wall corr",PackagingCarton
"PM, single wall corr",PackagingCarton
"PM, single wall corr, for intermedia leg",PackagingCarton
"PM, single wall corr, for leg",PackagingCarton
"PM, single wall corr, for beam",PackagingCarton
"PM, single wall FF5PF, for cable tray 1200W",PackagingCarton
"PM, single wall FF5PF, for cable tray 1500W",PackagingCarton
"PM, single wall FF5PF, for cable tray 1600W",PackagingCarton
"PM, single wall FF5PF, for cable tray 1800W",PackagingCarton
"PM, single wall corr, for screen,825*1420",PackagingCarton
"PM, single wall corr, for screen,825*1520",PackagingCarton
"PM, single wall corr, for screen,825*1620",PackagingCarton
"PM, single wall corr, for screen,825*1820",PackagingCarton
"PM, single wall corr, for sitbench top,1120x210x60",PackagingCarton
"PM, single wall corr, for sitbench top,1100x390x40",PackagingCarton
"PM, single wall corr,765x235x235",PackagingCarton
"PM,HSC, 710*780*733",PackagingCarton
"PM, HSC box Double Wall corr,975x650x950",PackagingCarton
"PM, HSC box Double Wall corr",PackagingCarton
"PM, Aloha CKD out box",PackagingCarton
"PM,WT cardboard,1340*2250",PackagingCarton
"PM,WT cardboard,1540*2050",PackagingCarton
"PM,WT cardboard,1640*1850",PackagingCarton
"PM,WT cardboard,1740*1850",PackagingCarton
"PM, out box for AI leg",PackagingCarton
"PM, out box for wood leg",PackagingCarton
"PM,Out box, 705x350x350",PackagingCarton
"PM, Out box,1250x550x75",PackagingCarton
"PM, out box 1200 for SIG",PackagingCarton
"PM, out box 1400 for SIG",PackagingCarton
"PM, out box 1600 for SIG",PackagingCarton
"PM, out box 1200 for DBL",PackagingCarton
"PM, out box 1400 for DBL",PackagingCarton
"PM, out box 1600 for DBL",PackagingCarton
"PM, out box",PackagingCarton
"PM, out box",PackagingCarton
"PM, out box 685x510x570",PackagingCarton
"PM, Buzzi 477*1400",PackagingCarton
"PM, Buzzi 477*1600",PackagingCarton
"PM, Buzzi 477*1800",PackagingCarton
"PM, Buzzi 950*1400",PackagingCarton
"PM, Buzzi 950*1600",PackagingCarton
"PM, Buzzi 950*1800",PackagingCarton
"PM, Buzzi 737*1400",PackagingCarton
"PM, Buzzi 737*1600",PackagingCarton
"PM, Buzzi 737*1800",PackagingCarton
"PM, out box",PackagingCarton
"PM, out box, 600x710x530",PackagingCarton
"PM, out box, 825x520x580",PackagingCarton
Tablet packing box,PackagingCarton
Poppy carton top box,PackagingCarton
"Pad,TPU,push-on,colored",MiscChairFrame
"Pad,TPU,push-on,colored",MiscChairFrame
"Pad,TPU,push-on,colored",MiscChairFrame
"Pad,TPU,push-on,colored",MiscChairFrame
Lumbar pad,LumbarPad
"Pad,Pusher,Pelvic",PelvisPad
"Pad,Pusher,Pelvic",PelvisPad
"Pin, back stop, control",Pins
"Pin,roll,axle,hinge, for Y-leg",Pins
"Coat Hanger,Hook,FAB",CoatHanger
"MECH,PUCK,POUF,FAB",Bracket
"PLATER,RETAINER,SPRING,LUMBAR",CompressSpring
"Plate,SGR,ceiling,CHN86,PH",CableHolder
"Plate,SGR,ceiling,CHN86,PH",CableHolder
"Plate,SGR,ceiling,CHN86,PH",CableHolder
"Plate,SGR,ceiling,CHN86,PH",CableHolder
"Plate,SGR,ceiling,CHN86,PH",CableHolder
"MiscHardware, Tie plate",MiscHardware
"MiscHardware, stopper plug",MiscHardware
"Plug, Upright, LH, Metal,FAB",Endcap
"Plug, Upright, RH, Metal,FAB",Endcap
"Plug, Upright, LH, Metal",Endcap
"Plug, Upright, LH, Metal",Endcap
"Plug, Upright, RH, Metal",Endcap
"Plug, Upright, RH, Metal",Endcap
"Plug,mechanical,arm, bumper planes,Y-Leg ,Polypropylene",Endcap
"Endcap, Very task, no arm option, LH, FAB",Endcap
"Endcap, Very task, no arm option, RH, FAB",Endcap
"Endcap, Very task, no arm option, LH, painted",Endcap
"Endcap, Very task, no arm option, LH, painted",Endcap
"Endcap, Very task, no arm option, RH, painted",Endcap
"Endcap, Very task, no arm option, RH, painted",Endcap
"Plug, for upright, no lumbar option",MiscLumbPelvCom
"Plug, for upright, no lumbar option",MiscLumbPelvCom
"Plug,KD,Very task",RetainHardware
"Arm tablet,VERY side chair,LH",Plywood
"Arm tablet,VERY side chair,LH",Plywood
"Arm tablet,VERY side chair,LH",Plywood
"Tang,UPH,guest,X99",MiscConnector
"Insert,FRM,ABS",Endcap
"Pin, align, mech",Pins
"ROD, pivot, control",Pins
"SPCC,T=1.0mm,1250mmx2500mm",MetalSheets
"Pad,back,jacket,Very task",BackPad
"Pad,gripper,footrest",MiscSeatFramAcc
Lumbar Pad Aloha,LumbarPad
Lumbar Pad Aloha,LumbarPad
"Assembly,pad,headrest,Fern",HeadRestPad
"Pillow,lumbar, Fern",LumbarPad
"Rack,storage,fixedand, seminar,Very,Chrome",SeatingBookRack
"RTNR,back,upper,W/nuts",RetainHardware
"Retainer,back,fabric,upper,W/nuts,wire stacker",MiscHardware
"Retainer, backfabric,lower",MiscHardware
"Retainer, mesh,fabric",BackrestFrame
"Retainer,UPH back,top plastic",RetainHardware
back retainer,BackrestFrame
"Aloha Guest back retainer, top",RetainHardware
"Aloha Guest back retainer,left",RetainHardware
"Aloha Guest back retainer,dawn",RetainHardware
"Retainer, mech rail, LH",MiscSeatFramAcc
"Retainer, mech rail, RH",MiscSeatFramAcc
"Retainer, seat assy, Fern",MiscSeatFramAcc
Retainer Front,BackrestFrame
Retainer Back,BackrestFrame
Top/side  gasket,BackCover
Top/side  gasket,BackCover
"Discspring, 19.05x12.37x0.5",DiscSpring
"Ring, steel, proj 451",Staples
"Rivet, GB12681, 4.8x11",Rivet
"Rivet, GB12617, 1/8x .251/.312",Rivet
"Rocker,Pneumatic, Very conference",MiscMechComp
"Rod, hex, ctrl",MiscMechComp
"SEAT SHELL, ASSEMBLY, ROYAL",SeatPlate
"SEAT SHELL, ASSEMBLY, ROYAL",SeatPlate
"Shell,low Back, Maari",SeatShell
"Shell,low Back, Maari",SeatShell
"Shell,low Back, Maari",SeatShell
"Shell,low Back, Maari",SeatShell
"Shell,low Back, Maari",SeatShell
"Frame weldment, casters,X99, seminar,FAB",FourLegBase
"Frame weldment, glides,X99, seminar,FAB",FourLegBase
"Armrest, 4D, LH, Very",ArmrestAssy
"Armrest, 4D, LH, Very",ArmrestAssy
"Armrest, 4D, LH, Very",ArmrestAssy
"Armrest, 4D, LH, Very",ArmrestAssy
"Armrest, 4D, RH, Very",ArmrestAssy
"Armrest, 4D, RH, Very",ArmrestAssy
"Armrest, 4D, RH, Very",ArmrestAssy
"Armrest, 4D, RH, Very",ArmrestAssy
"Armrest, height adj, RH, Very",ArmrestAssy
"Armrest, height adj, RH, Very",ArmrestAssy
"Armrest, height adj, RH, Very",ArmrestAssy
"Armrest, height adj, RH, Very",ArmrestAssy
"Armrest, height adj, LH, Very",ArmrestAssy
"Armrest, height adj, LH, Very",ArmrestAssy
"Armrest, height adj, LH, Very",ArmrestAssy
"Armrest, height adj, LH, Very",ArmrestAssy
Maari seat pad foam with plate,SeatCushion
Label for in house Zody control,ProductLabel
"Rail, seat attachment, RH",MiscSeatFramAcc
"Rail, seat attachment, LH",MiscSeatFramAcc
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail,Parted",RailProfile
"Desk Screen end rail,intuity rail",RailProfile
"Desk Screen end rail,intuity rail",RailProfile
"Desk Screen end rail,intuity rail",RailProfile
"Desk Screen end rail, intuity and tibas WT",RailProfile
"Desk Screen end rail, intuity and tibas WT",RailProfile
"Desk Screen end rail, intuity and tibas WT",RailProfile
"Desk Screen end rail, intuity and tibas WT,Parted",RailProfile
"Desk Screen end rail, intuity and tibas WT,Parted",RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
Hung & Bench screen end rail,RailProfile
"Hung Screen end rail,intuity end",RailProfile
"Hung Screen end rail,intuity end",RailProfile
"Hung Screen end rail,intuity end",RailProfile
"Hung Screen end rail,intuity end",RailProfile
"Hung Screen end rail,intuity end",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Desk Screen end rail,epure",RailProfile
"Rail, Intuity and Tibas WT mounted,FAB",RailProfile
"Rail, Intuity and Tibas WT mounted,FAB",RailProfile
"Rail, Intuity and Tibas WT mounted,FAB",RailProfile
"Rail, Intuity and Tibas WT mounted,FAB",RailProfile
"Rail, Intuity and Tibas WT mounted,FAB",RailProfile
"Rail, Epure WT mounted",RailProfile
"Rail, Epure WT mounted",RailProfile
"Rail, Epure WT mounted",RailProfile
"Rail, Epure WT mounted",RailProfile
"Rail, Epure WT mounted",RailProfile
"Welding Bracket for Modesty, Non Rail,FAB",Bracket
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Fabric",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity rail-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Tackable Infill",DeskScreenFrame
"Desk SCRN FRM,intuity and tibas WT-For Tackable Infill",DeskScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity end-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity end-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity end-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity end-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity end-For Fabric",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,intuity and tibas WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Fabric",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"Hung SCRN FRM,epure WT-For Tackable Infill",HungScreenFrame
"WoodFurnitScrew, 5.0X18.4, PanHead, Philips",WoodFurnitScrew
"MetricScrew,M8x50,Buttonhead,Torx",MetricScrew
"MetricScrew, M8x90, PanHead, Torx",MetricScrew
"WoodFurnitScrew, M8X30, CountersunkHead, HexagonalSocket",WoodFurnitScrew
"M8x32, PanHead, Torx, ElectrophoresisBlack, NA/NA",SelfTapScrew
"SelfTapScrew, M8x19, PanHead, Torx",SelfTapScrew
"MetricScrew, M8x50 , CheeseHead, HexagonalSocket",MetricScrew
"M6x20.00, CheeseHead, HexagonalSocket, ZincCoated, NA/GB70",MetricScrew
"MetricScrew, M10x31.75, CheeseHead, HexagonalSocket",MetricScrew
"MetricScrew, 1/4-20X1 3/4, CheeseHead, HexagonalSocket",MetricScrew
"MetricScrew, 10-32*.375 HexagonalSocket",MetricScrew
"SelfTapScrew, M4x8.6, PanHead, Torx",SelfTapScrew
"SCR8-32x.313,PAN HEAD,TF,SQUARE DRIVE",MetricScrew
"SelfTapScrew,ST5.0x12, TrussWasherHead, Torx",SelfTapScrew
"SelfTapScrew, ST6X14, TrussWasherHead, TORX",SelfTapScrew
"SelfTapScrew, ST6X14, TrussWasherHead, TORX",SelfTapScrew
MetricScrew M5*10mm Hexagonal,MetricScrew
"SCR,M5.5*19GB845, zinc coated",WoodFurnitScrew
"WoodFurnitScrew, GB845, ST4.8x19.0, PanHead, Philips",WoodFurnitScrew
"WoodFurnitScrew, ST4.2x30, CountersunkHead, Philips",WoodFurnitScrew
"SelfTapScrew, M5x16, RoundHead, Torx",SelfTapScrew
"SelfTapScrew, M5x40, FlatHead, HexagonalSocket",SelfTapScrew
"SelfTapScrew, M6X16, CountersunkHead, TORX",SelfTapScrew
"SelfTapScrew, M6X16, CountersunkHead, TORX",SelfTapScrew
"SelfTapScrew, M6x16, PanHead, Torx",SelfTapScrew
"SelfTapScrew, M6x16, FlatHead, Torx",SelfTapScrew
"SelfTapScrew, M6x20, FlatHead, HexagonalSocket",SelfTapScrew
"SelfTapScrew, M6x25, PanHead, Torx",SelfTapScrew
"SelfTapScrew, M6*40,FlatHead,HexagonalSocket",SelfTapScrew
"SelfTapScrew, M6*30,FlatHead,Torx",SelfTapScrew
"MetricScrew, M6x18, PanHead, Torx",MetricScrew
"SelfTapScrew, M6X16, PanHead, HexagonalSocket",SelfTapScrew
"SCR,GB/T70.1,M5x10",MetricScrew
"WoodFurnitScrew,GB845,M3.5x9.5,PanHead,Philips",WoodFurnitScrew
"MetricScrew, GB818, M4x5.0 PanHead, Philips",WoodFurnitScrew
"MetricScrew, GB70.3, M6x35, CountersunkHead, HexagonalSocket",MetricScrew
"MetricScrew, GB70.3, M5x12.0, CheeseHead, HexagonalSocket",MetricScrew
"SCR,GB6560-86,M4x12",SelfTapScrew
"MetricScrew,GB70.3,M5x8,CountersunkHead,HexagonalSocket",MetricScrew
"Metric Screw, GB819, CountersunkHead, Philips, M4X10",MetricScrew
"MetricScrew,GB77,M5x6,FlatHead,HexagonalSocket",MetricScrew
"MetricScrew, GB70.3, M6x30, CountersunkHead, HexagonalSocket",MetricScrew
"Metric Screw,GB77,FlatHead,Hexagonal,M6X8",MetricScrew
"MetricScrew, GB70.3, M6x10, CountersunkHead, HexagonalSocket",MetricScrew
"SCR,M6x12,hex,hx,ab,zGB70.3,10.9, zinc coated",MetricScrew
"SCR,M6x14,hex,hx,ab,zGB70.3, 10.9, zinc coated",MetricScrew
"Metric Screw,GB70,CountersunkHead,Hexagonal,1.00x12, M6X16",MetricScrew
"M6x20.00, CountersunkHead, Hexagonal, ZincCoated, NA/GB70.3",MetricScrew
"MetricScrew, GB70.3, M6x25, CountersunkHead, HexagonalSocket",MetricScrew
"M6x11.00, CountersunkHead, HexagonalSocket, ZincCoated, NA/N",MetricScrew
"SCR,pan,PH,zinc,M6x25mm",MetricScrew
"WoodFurnitScrew, GB846, ST6.3x38, CountersunkHead, Philips",WoodFurnitScrew
"MetricScrew, GB819, M6x30, CountersunkHead, Philips",MetricScrew
"Metric Screw,GB70.2, BottomHead,Hexagonal, M6X10",MetricScrew
"SCR,M6x6,pan,hex,PH,a,bGB70.2, 10.9, zinc coated",MetricScrew
"Nut,insert,M6*13",Nut
"SCR,M6x12,desk, GB77, zinc coated",MetricScrew
"SelfTapScrew, ST6.2x38, CheeseHead, Torx",SelfTapScrew
"SelfTapScrew, ST4.1x10, PanHead, Torx",SelfTapScrew
"M4x11, TrussWasherHead, Torx, ElectrophoresisBlack, NA/NA",SelfTapScrew
"SCR,M3.5-1.6-18.2,RNDWHS,head,TX,Z",SelfTapScrew
"SelfTapScrew, M5X13, PanHead, Torx",SelfTapScrew
"SelfTapScrew, M7.2X19.5, CheeseHead, Torx",SelfTapScrew
"SelfTapScrew, M5x17, PanHead, Torx",SelfTapScrew
"SelfTapScrew, M3.5x10, CountersunkHead, Torx",SelfTapScrew
"SelfTapScrew, M4x16, CountersunkHead, Torx",SelfTapScrew
"SelfTapScrew, M4x9, TrussWasherHead, Torx",SelfTapScrew
"SelfTapScrew, M6x22, CountersunkHead, HexagonalSocket",SelfTapScrew
"SelfTapScrew, M6x36.8, RaisedCountersunkHead, HexagonalSocke",SelfTapScrew
"MetricScrew, M4x18, TrussWasherHead, Torx",MetricScrew
"MetricScrew, M8X22.2, CheeseHead, Torx",MetricScrew
"MetricScrew, M6X20, PanHead, Torx",MetricScrew
"MetricScrew, M5x14.4, TrussWasherHead, Torx",MetricScrew
"MetricScrew, M4x6.4, TrussWasherHead, Torx",MetricScrew
"MetricScrew, M4x9.5, TrussWasherHead, Torx",MetricScrew
"Metric Screw, GB845-85, PanHead, Philips, ST4.2X16",MetricScrew
"Metric Screw, GB846, CountersunkHead, Philips, ST2.9x19",MetricScrew
"MetricScrew, GB70, M6x45.0, CheeseHead, HexagonalSocket",MetricScrew
"MetricScrew,GB70,M6x15.0,CheeseHead,HexagonalSocket",MetricScrew
"MetricScrew, GB77, M5X10, FlatHead, HexagonalSocket",MetricScrew
"SCR,pan M6X20GB818-85, zinc coated",MetricScrew
"SCR,pan,M10X80,GB/T70 zinc",MetricScrew
"WoodFurnitScrew, GB846, ST5.5x25, CountersunkHead, Philips",WoodFurnitScrew
"SelfTapScrew, M6x15.7, RaisedCountersunkHead, Philips",SelfTapScrew
"SelfTapScrew, GB6561, M4X10, CountersunkHead, Philips",SelfTapScrew
"M4x10, PanHead, Philips, GalvanizedWhite, NA/GB6560",SelfTapScrew
"SCR,GB/T6561,M5x12",SelfTapScrew
"SelfTapScrew,GB6560,M5X12,PanHead,Philips",SelfTapScrew
"MetricScrew, GB70, M6X70, CheeseHead, HexagonalSocket",MetricScrew
"SCR,GB/T70.1,M5x8",MetricScrew
"SelfTapScrew, M6X12, PanHead, Torx",SelfTapScrew
"SelfTapScrew, M6x24, TrussWasherHead, Torx",SelfTapScrew
"MetricScrew, 1/2-20 Button Head, Hexagonal",MetricScrew
"M5x10, PanHead, Torx, ElectrophoresisBlack, NA/NA",SelfTapScrew
"MetricScrew, GB70.3, M8x16, CountersunkHead, HexagonalSocket",MetricScrew
"MetricScrew, GB70, M8X45, CheeseHead, HexagonalSocket",MetricScrew
"WoodFurnitScrew, GB846,  M4.2X19, CountersunkHead, Philips",WoodFurnitScrew
"M5x10, TrussWasherHead, Torx, ZincCoated, NA/NA",SelfTapScrew
"MetricScrew, GB2672, M8x27, PanHead, Torx",MetricScrew
"MetricScrew, GB2672,  M8x30, PanHead, Torx",MetricScrew
"MetricScrew, GB2672, M8x35, PanHead, Torx",MetricScrew
Screw with spring washer,MiscFasteners
"3x screw, 2x spring washer and 1x flush washer",MiscFasteners
GB/T 2672  Hexagon lobularFlower shape head screws M8*30-8pc,MiscFasteners
"MetricScrew, M6x13.5, RoundHead, HexagonalSocket",MetricScrew
"MetricScrew, M5x10, TrussHead, HexagonalSocket",MetricScrew
"MetricScrew, M4x8, TrussHead, HexagonalSocket",MetricScrew
"MetricScrew, M8*30,RoundHead,Torx,Black",MetricScrew
"MetricScrew, M8x30, FlatHead, HexagonalSocket",MetricScrew
"SelfTapScrew, M4x15, TrussHead, HexagonalSocket",SelfTapScrew
"MetricScrew, GB70.1, M6x20, CheeseHead, HexagonalSocket",MetricScrew
"MetricScrew, GB70.1, M10x60, CheeseHead, HexagonalSocket",MetricScrew
"WoodFurnScrw, GB846, ST4.8x20, Countersunk, Philips, black",WoodFurnitScrew
"WoodFurnScrw, GB846, ST4.8x20, Countersunk, Philips, zinc",WoodFurnitScrew
"MetricScrew,M6*20,FlatHead,Torx,Black",MetricScrew
"MetricScrew, GB70.1, M8x16, CheeseHead, HexagonalSocket",MetricScrew
"M6x10.00, CheeseHead, HexagonalSocket, Oxidised, NA/GB70.1",MetricScrew
"Scew, half round head,M6x60, 10.9, TX, zinc plated",MetricScrew
"M6x35.00, TrussWasherHead, Torx, GalvanizedBlack, NA/NA",MetricScrew
"WoodFurnitScrew, GB/T 846 flat head, Philips,ST3.5x25",WoodFurnitScrew
"MetricScrew, M6x8, TrussWasherHead, Torx",MetricScrew
"Seat, Shell, Outer",SeatShell
"Seat, Shell, Outer",SeatShell
"Seat, Shell, Outer",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat Shell,Very Seminar/Conference",SeatShell
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,fixed,4leg,very",SeatPlate
"Seat,shell,outer,SUB ASSY,Very task",SeatPlate
"Seat,shell,outer,SUB ASSY,Very task",SeatPlate
"Seat inner, Aloha Easy guest",SeatPlate
"Shaft, adj, temsion, ctrl",SeatingControl
"SPCC,T=1.2mm,1250mm*2500mm",MetalSheets
"SGCC,T=0.7mm,1250mm*2500mm",MetalSheets
"SGCC,T=0.7mm,1720mm*2131mm",MetalSheets
"SGCC,T=0.7mm,931mm*2071.5mm",MetalSheets
"Shell,seat,inner,W/foam",SeatCushion
"Shell,Seat,SEM,X99,Export",SeatPlate
Gel Seat Foam With Plate,SeatCushion
